#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         1.06333         0.29019         0.29019         0.29019
         1.13066        0.251485        0.251485        0.251485
         1.20226        0.217783        0.217783        0.217783
          1.2784        0.188462        0.188462        0.188462
         1.35936        0.162975        0.162975        0.162975
         1.44544         0.14084         0.14084         0.14084
         1.53697        0.121629        0.121629        0.121629
         1.63431         0.10497         0.10497         0.10497
          1.7378       0.0905351       0.0905351       0.0905351
         1.84785       0.0780362       0.0780362       0.0780362
         1.96487       0.0672218       0.0672218       0.0672218
          2.0893       0.0578714       0.0578714       0.0578714
          2.2216       0.0497924       0.0497924       0.0497924
         2.36229       0.0428167       0.0428167       0.0428167
         2.51189       0.0367978       0.0367978       0.0367978
         2.67096       0.0316075       0.0316075       0.0316075
          2.8401       0.0271348       0.0271348       0.0271348
         3.01995       0.0232829       0.0232829       0.0232829
         3.21119       0.0199675       0.0199675       0.0199675
         3.41455       0.0171156       0.0171156       0.0171156
         3.63078       0.0146639       0.0146639       0.0146639
         3.86071       0.0125573       0.0125573       0.0125573
         4.10519       0.0107483       0.0107483       0.0107483
         4.36516      0.00919577      0.00919577      0.00919577
         4.64159      0.00786394      0.00786394      0.00786394
         4.93552      0.00672206      0.00672206      0.00672206
         5.24807      0.00574353      0.00574353      0.00574353
         5.58042       0.0049054       0.0049054       0.0049054
         5.93381      0.00418787      0.00418787      0.00418787
         6.30957      0.00357386      0.00357386      0.00357386
         6.70914      0.00304869      0.00304869      0.00304869
           7.134       0.0025997       0.0025997       0.0025997
         7.58578      0.00221601      0.00221601      0.00221601
         8.06616      0.00188826      0.00188826      0.00188826
         8.57696      0.00160841      0.00160841      0.00160841
         9.12011      0.00136956      0.00136956      0.00136956
         9.69765      0.00116578      0.00116578      0.00116578
         10.3118     0.000991992     0.000991992     0.000991992
         10.9648     0.000843837     0.000843837     0.000843837
         11.6591      0.00071758      0.00071758      0.00071758
         12.3975     0.000610024     0.000610024     0.000610024
         13.1826     0.000518431     0.000518431     0.000518431
         14.0174      0.00044046      0.00044046      0.00044046
          14.905     0.000374106     0.000374106     0.000374106
         15.8489     0.000317657     0.000317657     0.000317657
         16.8526     0.000269651     0.000269651     0.000269651
         17.9198     0.000228837     0.000228837     0.000228837
         19.0546     0.000194149     0.000194149     0.000194149
         20.2613     0.000164676     0.000164676     0.000164676
         21.5443     0.000139641     0.000139641     0.000139641
         22.9087     0.000118382     0.000118382     0.000118382
         24.3594     0.000100335     0.000100335     0.000100335
          25.902      8.5019e-05      8.5019e-05      8.5019e-05
         27.5423     7.20238e-05     7.20238e-05     7.20238e-05
         29.2864     6.10009e-05     6.10009e-05     6.10009e-05
         31.1411     5.16532e-05     5.16532e-05     5.16532e-05
         33.1131     4.37283e-05     4.37283e-05     4.37283e-05
         35.2101     3.70111e-05     3.70111e-05     3.70111e-05
         37.4398     3.13192e-05     3.13192e-05     3.13192e-05
         39.8107      2.6497e-05      2.6497e-05      2.6497e-05
         42.3318     2.24127e-05     2.24127e-05     2.24127e-05
         45.0125     1.89542e-05     1.89542e-05     1.89542e-05
          47.863     1.60262e-05     1.60262e-05     1.60262e-05
          50.894     1.35478e-05     1.35478e-05     1.35478e-05
          54.117     1.14506e-05     1.14506e-05     1.14506e-05
          57.544      9.6762e-06      9.6762e-06      9.6762e-06
         61.1881     8.17528e-06     8.17528e-06     8.17528e-06
         65.0629     6.90593e-06     6.90593e-06     6.90593e-06
         69.1831     5.83264e-06     5.83264e-06     5.83264e-06
         73.5642      4.9253e-06      4.9253e-06      4.9253e-06
         78.2228      4.1584e-06      4.1584e-06      4.1584e-06
         83.1764     3.51033e-06     3.51033e-06     3.51033e-06
         88.4437     2.96277e-06     2.96277e-06     2.96277e-06
         94.0445     2.50022e-06     2.50022e-06     2.50022e-06
             100     2.10955e-06     2.10955e-06     2.10955e-06
         106.333     1.77964e-06     1.77964e-06     1.77964e-06
         113.066      1.5011e-06      1.5011e-06      1.5011e-06
         120.226     1.26597e-06     1.26597e-06     1.26597e-06
          127.84     1.06751e-06     1.06751e-06     1.06751e-06
         135.936     9.00026e-07     9.00026e-07     9.00026e-07
         144.544     7.58714e-07     7.58714e-07     7.58714e-07
         153.697     6.39499e-07     6.39499e-07     6.39499e-07
         163.431     5.38941e-07     5.38941e-07     5.38941e-07
          173.78     4.54134e-07     4.54134e-07     4.54134e-07
         184.785     3.82621e-07     3.82621e-07     3.82621e-07
         196.487     3.22326e-07     3.22326e-07     3.22326e-07
